Ticker;Sector;Industry;Qty Shares;Date Beginning
TSLA;Consumer Cyclical;Auto Manufacturers;3195000000;2024-06-01
F;Consumer Cyclical;Auto Manufacturers;4022000000;2024-06-30
GM;Consumer Cyclical;Auto Manufacturers;1147000000;2024-06-30
LVMUY;Consumer Cyclical;Luxury;2518000000;2020-01-01
LVMUY;Consumer Cyclical;Luxury;2511000000;2021-01-01
LVMUY;Consumer Cyclical;Luxury;2510000000;2022-01-01
LVMUY;Consumer Cyclical;Luxury;2510000000;2023-01-01
LVMUY;Consumer Cyclical;Luxury;2510000000;2024-01-01
PPRUY;Consumer Cyclical;Luxury;1246000000;2020-01-01
PPRUY;Consumer Cyclical;Luxury;1233000000;2021-01-01
PPRUY;Consumer Cyclical;Luxury;1224000000;2022-01-01
PPRUY;Consumer Cyclical;Luxury;1224000000;2023-01-01
PPRUY;Consumer Cyclical;Luxury;1224000000;2024-01-01
ESLOY;Consumer Cyclical;Luxury;878000000;2020-01-01
ESLOY;Consumer Cyclical;Luxury;884000000;2021-01-01
ESLOY;Consumer Cyclical;Luxury;896000000;2022-01-01
ESLOY;Consumer Cyclical;Luxury;896000000;2023-01-01
ESLOY;Consumer Cyclical;Luxury;896000000;2024-01-01
CFRUY;Consumer Cyclical;Luxury;5666000000;2020-01-01
CFRUY;Consumer Cyclical;Luxury;5744000000;2021-01-01
CFRUY;Consumer Cyclical;Luxury;5767000000;2022-01-01
CFRUY;Consumer Cyclical;Luxury;5767000000;2023-01-01
CFRUY;Consumer Cyclical;Luxury;5767000000;2024-01-01
PRAA;Consumer Cyclical;Luxury;4600000;2010-01-01
PRAA;Consumer Cyclical;Luxury;5200000;2012-03-31
PRAA;Consumer Cyclical;Luxury;15300000;2012-04-01
PRAA;Consumer Cyclical;Luxury;5100000;2012-09-30
PRAA;Consumer Cyclical;Luxury;4900000;2022-03-31
