Ticker;Kurzname;Zielpreis (kaufen);% Diff. (Kauf);Zielpreis (verkaufen);% Diff. (Verkauf);Kurs;Update;% Differenz
NVD.DE;NVIDIA CORP.  DL-,001;94.81;39.4;;;132.16;20.02.25 17:29 +0100;39.4
NVDA;NVIDIA Corporation;;;;;140.12;20.02.25 15:59 -0500;
ETH-EUR;Ethereum EUR;1500.0;73.4;3700.0;-29.7;2600.41;20.02.25 22:15 +0000;73.4
ZAL.DE;ZALANDO SE;;;75.5;-50.6;37.26;20.02.25 17:29 +0100;
TL0.DE;TESLA INC. DL -,001;170.0;99.0;350.0;-3.3;338.3;20.02.25 17:28 +0100;99.0
TSLA;Tesla, Inc.;;;;;354.38;20.02.25 15:59 -0500;
YOU.DE;ABOUT YOU HOLDING SE;;;5.24;27.1;6.66;20.02.25 17:03 +0100;
47R.F;ZIPRECRUITER CL.A -,00001;;;14.0;-49.6;7.05;20.02.25 15:29 +0100;
ZIP;ZipRecruiter, Inc.;;;;;7.3;20.02.25 15:59 -0500;
HFG.DE;HELLOFRESH SE  INH O.N.;;;19.0;-32.6;12.81;20.02.25 17:29 +0100;
ARM;Arm Holdings plc;125.01;20.8;;;150.96;20.02.25 15:59 -0500;20.8
ONTO;Onto Innovation Inc.;146.0;14.4;225.0;-25.7;167.07;20.02.25 15:59 -0500;14.4
1CIA.BE;VISTA ENERGY  1 A ADR/1;;;;;52.5;20.02.25 21:48 +0100;
VIST;Vista Energy S.A.B. de C.V.;;;;;55.45;20.02.25 15:59 -0500;
22UA.DE;BIONTECH SE SPON. ADRS 1;;;;;113.9;20.02.25 17:29 +0100;
BNTX;BioNTech SE;;;;;117.77;20.02.25 15:59 -0500;
WLD-USD;Worldcoin USD;1.5;-20.7;;;1.19;20.02.25 22:11 +0000;-20.7
RENDER-USD;Render USD;;;;;4.37;20.02.25 22:10 +0000;
META;Meta Platforms, Inc.;505.67;37.4;;;694.85;20.02.25 15:59 -0500;37.4
ARGT;Global X MSCI Argentina ETF;;;;;87.26;20.02.25 15:59 -0500;
SMHN.DE;SUSS MICROTEC SE NA O.N.;;;;;42.7;20.02.25 17:29 +0100;
XDWT.MI;XTRACKERS MSCI WORLD INFOR TEC ;;;;;93.42;20.02.25 17:18 +0100;
NNM.F;Onto Innovation Inc.          R;144.0;13.9;;;164.0;20.02.25 14:26 +0100;13.9
1CIA.F;Vista Energy S.A.B. de C.V    R;;;;;49.8;20.02.25 09:59 +0100;
RIVN;Rivian Automotive, Inc.;;;;;13.58;20.02.25 15:59 -0500;
BTC-EUR;Bitcoin EUR;;;;;93517.62;20.02.25 22:15 +0000;
NDIA.L;ISHARES IV PLC ISH MSCI INDIA U;;;;;8.75;20.02.25 16:29 +0000;
STERV.HE;Stora Enso Oyj R;9.0;18.6;;;10.67;20.02.25 18:29 +0200;18.6
